Komoditas,26-May-23,27-May-23,28-May-23,29-May-23,30-May-23,31-May-23,kabupaten/kota
Tepung Terigu Protein Sedang,Rp 14.000,-,-,Rp 14.000,Rp 14.000,Rp 14.000,Balikpapan
Minyak Goreng Kemasan,Rp 22.500,-,-,Rp 22.500,Rp 22.500,Rp 22.500,Balikpapan
Kacang Hijau,-,-,-,-,-,-,Balikpapan
Kacang Tanah,-,-,-,-,-,-,Balikpapan
Kedelai Lokal,-,-,-,-,-,-,Balikpapan
Susu Kental Manis,-,-,-,-,-,-,Balikpapan
Telur Ayam Kampung,-,-,-,-,-,-,Balikpapan
Tepung Terigu Protein Rendah,Rp 15.000,-,-,Rp 15.000,Rp 15.000,Rp 15.000,Balikpapan
Tepung Terigu Protein Tinggi,Rp 15.000,-,-,Rp 15.000,Rp 15.000,Rp 15.000,Balikpapan
Mie Instan,-,-,-,-,-,-,Balikpapan
Susu Bubuk,-,-,-,-,-,-,Balikpapan
Bawang Merah,Rp 40.000,-,-,Rp 40.000,Rp 40.000,Rp 40.000,Balikpapan
Bawang Putih,Rp 40.000,-,-,Rp 40.000,Rp 40.000,Rp 40.000,Balikpapan
Daging Ayam Kampung,-,-,-,-,-,-,Balikpapan
Daging Ayam Ras,Rp 43.500,-,-,Rp 44.000,Rp 44.000,Rp 44.000,Balikpapan
Daging Sapi Segar Lokal,Rp 150.000,-,-,Rp 150.000,Rp 150.000,Rp 150.000,Balikpapan
Daging Sapi Impor Beku,-,-,-,-,-,-,Balikpapan
Garam Bata,-,-,-,-,-,-,Balikpapan
Ikan Segar,-,-,-,-,-,-,Balikpapan
Ikan Diawetkan,-,-,-,-,-,-,Balikpapan
Jagung Pipilan,-,-,-,-,-,-,Balikpapan
Ketela Pohon,-,-,-,-,-,-,Balikpapan
Daging Kerbau Beku Impor,-,-,-,-,-,-,Balikpapan
Wortel,-,-,-,-,-,-,Balikpapan
Kol,-,-,-,-,-,-,Balikpapan
Kentang,-,-,-,-,-,-,Balikpapan
Tomat,-,-,-,-,-,-,Balikpapan
Cabai Merah Besar,Rp 50.000,-,-,Rp 60.000,Rp 60.000,Rp 60.000,Balikpapan
Cabai Merah Keriting,Rp 45.000,-,-,Rp 50.000,Rp 50.000,Rp 50.000,Balikpapan
Cabai Rawit Merah,Rp 32.000,-,-,Rp 35.000,Rp 35.000,Rp 35.000,Balikpapan
Cabai Rawit Hijau,-,-,-,-,-,-,Balikpapan
Mentega,-,-,-,-,-,-,Balikpapan
Beras Medium,Rp 13.000,-,-,Rp 13.000,Rp 13.000,Rp 13.000,Paser
Beras Premium,Rp 16.000,-,-,Rp 15.000,Rp 15.000,Rp 15.000,Paser
Beras Termurah,-,-,-,-,-,-,Paser
Garam Halus,-,-,-,-,-,-,Paser
Gula Pasir Curah,Rp 14.000,-,-,Rp 14.000,Rp 14.000,Rp 14.000,Paser
Kedelai Impor,Rp 12.800,-,-,Rp 12.800,Rp 12.800,Rp 12.800,Paser
Minyak Goreng Curah,Rp 16.000,-,-,Rp 16.000,Rp 16.000,Rp 16.000,Paser
Minyak Goreng Kemasan Sederhana,-,-,-,-,-,-,Paser
Telur Ayam Ras,Rp 33.000,-,-,-,Rp 33.000,Rp 33.000,Paser
Tepung Terigu Protein Sedang,Rp 13.000,-,-,Rp 13.000,Rp 13.000,Rp 13.000,Paser
Minyak Goreng Kemasan,Rp 25.000,-,-,Rp 25.000,Rp 25.000,Rp 25.000,Paser
Kacang Hijau,Rp 28.000,-,-,Rp 28.000,Rp 28.000,Rp 28.000,Paser
Kacang Tanah,-,-,-,-,-,-,Paser
Kedelai Lokal,-,-,-,-,-,-,Paser
Susu Kental Manis,Rp 13.000,-,-,Rp 13.000,Rp 13.000,Rp 13.000,Paser
Telur Ayam Kampung,Rp 70.000,-,-,-,Rp 70.000,Rp 70.000,Paser
Tepung Terigu Protein Rendah,Rp 10.000,-,-,Rp 10.000,Rp 10.000,Rp 10.000,Paser
Tepung Terigu Protein Tinggi,Rp 15.000,-,-,Rp 15.000,Rp 15.000,Rp 15.000,Paser
Mie Instan,Rp 3.500,-,-,-,Rp 3.500,Rp 3.500,Paser
Susu Bubuk,Rp 38.000,-,-,Rp 38.000,Rp 38.000,Rp 38.000,Paser
Bawang Merah,Rp 45.000,-,-,Rp 45.000,Rp 45.000,Rp 45.000,Paser
Bawang Putih,Rp 38.000,-,-,Rp 38.000,Rp 38.000,Rp 38.000,Paser
Daging Ayam Kampung,Rp 70.000,-,-,Rp 70.000,Rp 70.000,Rp 70.000,Paser
Daging Ayam Ras,Rp 40.000,-,-,Rp 40.000,Rp 40.000,Rp 40.000,Paser
Daging Sapi Segar Lokal,Rp 160.000,-,-,Rp 160.000,Rp 160.000,Rp 160.000,Paser
Daging Sapi Impor Beku,-,-,-,-,-,-,Paser
Garam Bata,-,-,-,-,-,-,Paser
Ikan Segar,Rp 50.000,-,-,Rp 50.000,Rp 50.000,Rp 50.000,Paser
Ikan Diawetkan,Rp 150.000,-,-,Rp 150.000,Rp 150.000,Rp 150.000,Paser
Jagung Pipilan,Rp 8.000,-,-,Rp 8.500,Rp 8.500,Rp 8.500,Paser
Ketela Pohon,Rp 8.000,-,-,Rp 8.000,Rp 8.000,Rp 8.000,Paser
Daging Kerbau Beku Impor,-,-,-,-,-,-,Paser
Wortel,Rp 20.000,-,-,Rp 20.000,Rp 20.000,Rp 20.000,Paser
Kol,Rp 12.000,-,-,Rp 12.000,Rp 12.000,Rp 12.000,Paser
Kentang,Rp 18.000,-,-,Rp 18.000,Rp 18.000,Rp 18.000,Paser
Tomat,Rp 15.000,-,-,Rp 15.000,Rp 15.000,Rp 15.000,Paser
Cabai Merah Besar,Rp 38.000,-,-,Rp 38.000,Rp 38.000,Rp 38.000,Paser
Cabai Merah Keriting,Rp 25.000,-,-,Rp 25.000,Rp 25.000,Rp 25.000,Paser
Cabai Rawit Merah,Rp 30.000,-,-,Rp 30.000,Rp 30.000,Rp 30.000,Paser
Cabai Rawit Hijau,Rp 30.000,-,-,Rp 30.000,Rp 30.000,Rp 30.000,Paser
Mentega,-,-,-,-,-,-,Paser
